disease_name,url,symptoms
Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,"Actinic keratoses vary in appearance. Symptoms include:; Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter; Flat to slightly raised patch or bump on the top layer of skin; In some cases, a hard, wartlike surface; Color variations, including pink, red or brown; Itching, burning, bleeding or crusting; New patches or bumps on sun-exposed areas of the head, neck, hands and forearms"
Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,"The symptoms of acute coronary syndrome usually start suddenly. They include:; Chest pain or discomfort. It may feel like aching, pressure, tightness or burning. Chest pain also is called angina.; Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw.; Nausea or vomiting.; Pain or burning in the upper belly, called indigestion.; Shortness of breath, also called dyspnea.; Sudden, heavy sweating.; Racing heartbeat.; Feeling lightheaded or dizzy.; Fainting.; Unusual fatigue.; Chest pain or discomfort is the most common symptom of acute coronary syndrome. But symptoms may vary a lot depending on age, sex assigned at birth and other medical conditions. Women, older adults and people with diabetes are more likely to have symptoms without chest pain or discomfort."
Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,"The most common signs and symptoms of acute flaccid myelitis include:; Sudden arm or leg weakness; Sudden loss of muscle tone; Sudden loss of reflexes; Other possible signs and symptoms include:; Difficulty moving the eyes or drooping eyelids; Facial droop or weakness; Difficulty with swallowing or slurred speech; Pain in the arms, legs, neck or back; Uncommon symptoms might include:; Numbness or tingling; Inability to pass urine; Severe symptoms involve respiratory failure, due to the muscles involved in breathing becoming weak. It's also possible to experience life-threatening body temperature changes and blood pressure instability."
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,"Symptoms of acute kidney injury may include:; Less urine output.; Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet.; Tiredness.; Confusion or fogginess.; Nausea.; Pain in the belly or in the side below the rib cage.; Weakness.; Irregular heartbeat.; Itching.; Loss of appetite.; Chest pain or pressure.; Seizures or coma in severe cases.; Sometimes acute kidney injury causes no symptoms. Then it may be found through lab tests done for something else."
Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,"Symptoms of acute liver failure may include:; Yellowing of the skin and eyeballs, called jaundice.; Pain in the upper right belly area, called the abdomen.; A swollen belly, known as ascites.; Nausea and vomiting.; A general sense of feeling unwell, known as malaise.; Disorientation or confusion.; Sleepiness.; Breath with a musty or sweet odor.; Tremors."
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,"Signs and symptoms of acute lymphocytic leukemia may include:; Bleeding from the gums; Bone pain; Fever; Frequent infections; Frequent or severe nosebleeds; Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin; Pale skin; Shortness of breath; Weakness, fatigue or a general decrease in energy"
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Symptoms of acute myelogenous leukemia may include:; Fever.; Pain. Common places for pain include the bones, back and stomach.; Feeling very tired.; Paleness or change in skin color.; Frequent infections.; Easy bruising.; Bleeding with no clear cause, such as in the nose or gums.; Shortness of breath."
Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,"Acute sinusitis symptoms often include:; Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip.; Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.; Pain, tenderness, swelling and pressure around the eyes, cheeks, nose or forehead that gets worse when bending over.; Other signs and symptoms include:; Ear pressure.; Headache.; Aching in the teeth.; Changed sense of smell.; Cough.; Bad breath.; Tiredness.; Fever."
Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,"Addison's disease symptoms usually happen slowly, often over months. The disease may happen so slowly that people who have it might ignore the symptoms at first. Physical stress such as an illness or injury can make symptoms get worse fast.; Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including:; Extreme tiredness, also called fatigue.; Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension.; Sweating due to low blood sugar, also called hypoglycemia.; Upset stomach, diarrhea or vomiting.; Pain in the stomach area, also called the abdomen.; Muscle cramps, weakness, widespread pain or joint pain.; Other early symptoms can cause changes in how you look, such as:; Body hair loss.; Areas of darkened skin, especially on scars and moles. These changes may be harder to see on Black or brown skin.; Weight loss due to less hunger.; Early Addison's disease symptoms also can affect emotions, mental health and desires. These symptoms include:; Depression.; Irritable mood.; Lower sex drive in women.; Salt craving."
Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,"Sometimes, adenomyosis causes no signs or symptoms or only mild discomfort. However, adenomyosis can cause:; Heavy or prolonged menstrual bleeding; Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea); Chronic pelvic pain; Painful intercourse (dyspareunia); Your uterus might get bigger. Although you might not know if your uterus is bigger, you may notice tenderness or pressure in your lower abdomen."
Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,"Symptoms depend on the type of adjustment disorder. These symptoms can vary from person to person. You experience more stress than would generally be expected in response to a trying event, and this stress causes a lot of problems in your life.; Adjustment disorders affect how you feel and think about yourself and the world. They also may affect your actions or behavior.; Some examples include:; Feeling sad, hopeless or not enjoying things you used to enjoy.; Crying often.; Worrying, or feeling anxious, nervous, jittery or stressed out.; Feeling irritable or like you can't handle anything and don't know where to start.; Having trouble sleeping.; Not eating enough.; Having difficulty concentrating.; Having difficulty with daily activities.; Withdrawing from family and friends who support you socially.; Not doing important things, such as going to work or paying bills.; Thinking about suicide or acting on those thoughts.; Symptoms of an adjustment disorder start within three months of a stressful event. These symptoms last no longer than six months after the end of the stressful event. But constant or lasting adjustment disorders can continue for more than six months. This is especially true if the stressful event is ongoing, such as being unemployed."
Adnexal tumors and masses,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,"Many adnexal tumors and masses don't cause symptoms. They're often found during a medical exam that's done for another reason.; When adnexal tumors and masses cause symptoms, the symptoms may include:; Pain, including pain in the pelvis or belly, painful period cramps that are worse than usual, and painful sex.; A feeling of fullness or pressure in the pelvis or belly, or feeling full quickly when eating.; Nausea and vomiting.; Constipation or bloating.; Urinating a lot or having trouble urinating.; Bleeding from the vagina that is out of the ordinary.; Fever."
Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,"Signs and symptoms of adrenal cancer may include:; Back pain.; Belly pain.; Losing weight without trying.; Loss of appetite.; Many people who have adrenal cancer develop hormone changes in the body. These changes can happen if the cancer cells make extra hormones. Most often, the adrenal cancer makes the hormone cortisol. This can cause symptoms of Cushing syndrome, including:; Weight gain.; Muscle weakness.; Pink or purple stretch marks on the skin.; Bruises that happen even with a small injury.; High blood pressure.; High blood sugar or diabetes.; Less often, an adrenal cancer might make the sex hormones estrogen and testosterone. In females, changes in the sex hormones can cause extra facial hair, hair loss on the head and periods that aren't regular. In males, these hormone changes may cause the testicles to shrink and breast tissue to get bigger.; Rarely, adrenal cancer may make the hormone aldosterone. That can cause high blood pressure and low levels of potassium in the blood."
Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe.; Many adults with ADHD aren't aware they have it — they just know that everyday tasks can be a challenge. Adults with ADHD may find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger.; Adult ADHD symptoms may include:; Impulsiveness; Disorganization and problems prioritizing; Poor time management skills; Problems focusing on a task; Trouble multitasking; Excessive activity or restlessness; Poor planning; Low frustration tolerance; Frequent mood swings; Problems following through and completing tasks; Hot temper; Trouble coping with stress"
Adult Still disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,"Most people with adult Still disease have a combination of the following symptoms:; Fever. Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer.; Rash. A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs.; Sore throat. This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender.; Achy and swollen joints. Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks.; Muscle pain. Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities.; Symptoms of this disorder can differ from person to person. They can mimic those of other conditions, including lupus and a type of cancer called lymphoma."
Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,"Age spots may affect people of all skin types, but they're more common in adults with skin that sunburns easily. Unlike freckles, which are common in children and fade with no sun exposure, age spots don't fade."
Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,"Typical agoraphobia symptoms include fear of:; Leaving home alone.; Crowds or waiting in line.; Enclosed spaces, such as movie theaters, elevators or small stores.; Open spaces, such as parking lots, bridges or malls.; Using public transportation, such as a bus, plane or train.; These situations cause anxiety because you fear you won't be able to escape or find help if you start to feel panicked. Or you may fear having other disabling or embarrassing symptoms, such as dizziness, fainting, falling or diarrhea.; In addition:; Your fear or anxiety is out of proportion to the actual danger of the situation.; You avoid the situation, you need a companion to go with you, or you endure the situation but are extremely upset.; You have major distress or problems with social situations, work or other areas in your life because of the fear, anxiety or avoidance.; Your fear and avoidance usually lasts six months or longer."
Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,"Airplane ear can happen in one or both ears. Common symptoms of airplane ear include:; Discomfort in the ear.; Feeling of fullness or stuffiness in the ear.; Muffled hearing or some hearing loss.; Symptoms of severe airplane ear might include:; Severe pain.; Increased pressure in the ear.; Worse hearing loss.; Ringing in the ear, called tinnitus.; Feeling of spinning, called vertigo.; Bleeding from the ear."
Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,"Symptoms of albinism involve skin, hair and eye color, as well as vision."
Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,"Signs and symptoms of alcohol intolerance — or of a reaction to ingredients in an alcoholic beverage — can include:; Facial redness (flushing); Red, itchy skin bumps (hives); Worsening of pre-existing asthma; Runny or stuffy nose; Low blood pressure; Nausea and vomiting; Diarrhea"
Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,"Alcohol poisoning symptoms include:; Confusion.; Vomiting.; Seizures.; Slow breathing, which is fewer than eight breaths a minute.; Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths.; Skin that looks blue, gray or pale.; Low body temperature, also known as hypothermia.; Trouble staying conscious or awake."
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms you experience. Signs and symptoms may include:; Being unable to limit the amount of alcohol you drink; Wanting to cut down on how much you drink or making unsuccessful attempts to do so; Spending a lot of time drinking, getting alcohol or recovering from alcohol use; Feeling a strong craving or urge to drink alcohol; Failing to fulfill major obligations at work, school or home due to repeated alcohol use; Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems; Giving up or reducing social and work activities and hobbies to use alcohol; Using alcohol in situations where it's not safe, such as when driving or swimming; Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount; Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms; Alcohol use disorder can include periods of being drunk (alcohol intoxication) and symptoms of withdrawal.; Alcohol intoxication results as the amount of alcohol in your bloodstream increases. The higher the blood alcohol concentration is, the more likely you are to have bad effects. Alcohol intoxication causes behavior problems and mental changes. These may include inappropriate behavior, unstable moods, poor judgment, slurred speech, problems with attention or memory, and poor coordination. You can also have periods called ""blackouts,"" where you don't remember events. Very high blood alcohol levels can lead to coma, permanent brain damage or even death.; Alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. It can occur within several hours to 4 to 5 days later. Signs and symptoms include sweating, rapid heartbeat, hand tremors, problems sleeping, nausea and vomiting, hallucinations, restlessness and agitation, anxiety, and occasionally seizures. Symptoms can be severe enough to impair your ability to function at work or in social situations."
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes, called jaundice. The yellowing of the skin might be harder to see on Black and brown people.; Other symptoms include:; Loss of appetite.; Nausea and vomiting.; Belly tenderness.; Fever, often low grade.; Tiredness and weakness.; People with alcoholic hepatitis tend to be malnourished. Drinking large amounts of alcohol keeps people from being hungry. And heavy drinkers get most of their calories from alcohol.; Other symptoms that happen with severe alcoholic hepatitis include:; Fluid buildup in the belly, called ascites.; Being confused and acting oddly due to a buildup of toxins. The healthy liver breaks these toxins down and gets rid of them.; Kidney and liver failure."
Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,"Allergy symptoms depend on what allergen is involved. The symptoms can affect the airways, sinuses and nasal passages, skin, and digestive system. Allergic reactions can range from mild to severe. Sometimes, allergies can trigger a life-threatening reaction known as anaphylaxis.; Hay fever, also called allergic rhinitis, can cause:; Sneezing.; Itching of the skin, nose, eyes or roof of the mouth.; Runny, stuffy nose.; Tiredness, also called fatigue.; Watery, red or swollen eyes, also called allergic conjunctivitis.; A food allergy can cause:; Tingling in the mouth.; Swelling of the lips, tongue, face or throat.; Itchy welts called hives.; Stuffy nose, sneezing or teary eyes that itch.; Stomach cramps, vomiting or diarrhea.; Anaphylaxis.; An insect sting allergy can cause:; Pain and a large area of swelling called edema at the sting site.; Itching or hives all over the body.; Skin warmth and a change in skin color, also called flushing.; Cough, chest tightness, wheezing or shortness of breath.; Anaphylaxis.; A medicine allergy can cause:; Hives.; Itchy skin or rash.; Facial swelling.; Wheezing.; Shortness of breath.; Vomiting or diarrhea.; Feeling dizzy.; Anaphylaxis.; Atopic dermatitis, an allergic skin condition also called eczema, can cause skin to:; Itch.; Form red or brown patches that may be harder to see on darker skin tones.; Flake, peel or crack."
Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,"An alpha-gal allergic reaction often starts about 2 to 6 hours after you eat something with the alpha-gal molecule.; Symptoms may be mild or lead to serious illness, and include:; Hives and itching.; Swelling of the lips, face, throat or eyelids.; Wheezing or shortness of breath.; Stomach pain, diarrhea, nausea or vomiting.; Symptoms of alpha-gal syndrome may lessen or go away over time."
Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,"Memory loss is the key symptom of Alzheimer's disease. Early in the disease, people may have trouble remembering recent events or conversations. Over time, memory gets worse and other symptoms occur.; At first, someone with the disease may be aware of having trouble remembering things and thinking clearly. As signs and symptoms get worse, a family member or friend may be more likely to notice the issues.; Brain changes from Alzheimer's disease lead to the following symptoms that get worse over time."
Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,"Ameloblastoma often causes no symptoms, but signs and symptoms may include pain and a lump or swelling in the jaw.; If left untreated, the tumor can grow very large, distorting the shape of the lower face and jaw and shifting teeth out of position."
Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,"Depending on the cause of amenorrhea, you might experience other signs or symptoms along with the absence of periods, such as:; Milky nipple discharge; Hair loss; Headache; Vision changes; Excess facial hair; Pelvic pain; Acne"
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,"The two main features of amnesia are:; Trouble learning new information.; Trouble remembering past events and previously familiar information.; Most people with amnesia have problems with short-term memory, so they can't retain new information. Recent memories are most likely to be lost. More-remote or deeply ingrained memories may be spared.; For example, people may recall experiences from childhood or know the names of past presidents. But they may not be able to name the current president, know the month or remember what they ate for breakfast.; Isolated memory loss doesn't affect a person's intelligence, general knowledge, awareness or attention span. It also doesn't affect judgment, personality or identity. People with amnesia usually can understand written and spoken words and can learn skills such as bike riding or piano playing. They may understand they have a memory disorder.; Amnesia isn't the same as dementia. Dementia often includes memory loss but also involves other problems with thinking that lead to a decline in daily functioning. These problems include having trouble with language, judgment and visual-spatial skills.; Memory loss also is a common symptom of mild cognitive impairment. This disorder involves memory and other cognitive problems that aren't as severe as those experienced in dementia."
Ampullary cancer,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066,"Signs and symptoms of ampullary cancer may include:; Yellowing of the skin and whites of the eyes, called jaundice.; Diarrhea.; Clay-colored stools.; Abdominal pain.; Fever.; Blood in the stool.; Nausea.; Vomiting.; Weight loss."
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,
Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,"Symptoms of ALS vary from person to person. Symptoms depend on which nerve cells are affected. ALS generally begins with muscle weakness that spreads and gets worse over time. Symptoms might include:; Trouble walking or doing usual daily activities.; Tripping and falling.; Weakness in the legs, feet or ankles.; Hand weakness or clumsiness.; Slurred speech or trouble swallowing.; Weakness associated with muscle cramps and twitching in the arms, shoulders and tongue.; Untimely crying, laughing or yawning.; Thinking or behavioral changes.; ALS often starts in the hands, feet, arms or legs. Then it spreads to other parts of the body. Muscles get weaker as more nerve cells die. This eventually affects chewing, swallowing, speaking and breathing.; There's generally no pain in the early stages of ALS . Pain also is not common in the later stages. ALS doesn't usually affect bladder control. It also usually doesn't affect the senses, including the ability to taste, smell, touch and hear.; There is a problem with information submitted for this request. Review/update the information highlighted below and resubmit the form."
Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,Anal cancer signs and symptoms include:; Bleeding from the anus or rectum.; Blood in the stool.; Pain in the area of the anus.; A mass or growth in the anal canal.; Anal itching.; Having to go to the bathroom more often.
Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,Symptoms of an anal fissure include:; Pain during bowel movements.; Pain after bowel movements that can last up to several hours.; Bright red blood on the stool or toilet paper after a bowel movement.; A visible crack in the skin around the anus.; A small lump or skin tag near the anal fissure.
Anal fistula,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871,"Symptoms of an anal fistula can include:; An opening on the skin around the anus; A red, inflamed area around the tunnel opening; Oozing of pus, blood or stool from the tunnel opening; Pain in the rectum and anus, especially when sitting or passing stool; Fever"
Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,"Symptoms of anal itching may include intense itching, inflammation, burning and soreness. The itching and irritation may be short lived or more persistent, depending on the cause. Anal itching often is worse at bedtime or in hot, humid weather."
Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,"Anaphylaxis symptoms usually occur within minutes of exposure to an allergen. Sometimes, however, anaphylaxis can occur a half-hour or longer after exposure. In rare cases, anaphylaxis may be delayed for hours. Signs and symptoms include:; Skin reactions, including hives and itching and flushed or pale skin; Low blood pressure (hypotension); Constriction of the airways and a swollen tongue or throat, which can cause wheezing and trouble breathing; A weak and rapid pulse; Nausea, vomiting or diarrhea; Dizziness or fainting"
Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,"Anemia symptoms depend on the cause and how bad the anemia is. Anemia can be so mild that it causes no symptoms at first. But symptoms usually then occur and get worse as the anemia gets worse.; If another disease causes the anemia, the disease can mask the anemia symptoms. Then a test for another condition might find the anemia. Certain types of anemia have symptoms that point to the cause.; Possible symptoms of anemia include:; Tiredness.; Weakness.; Shortness of breath.; Pale or yellowish skin, which might be more obvious on white skin than on Black or brown skin.; Irregular heartbeat.; Dizziness or lightheadedness.; Chest pain.; Cold hands and feet.; Headaches."
Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,
Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,"Angelman syndrome symptoms include:; Developmental delays, including no crawling or babbling at 6 to 12 months.; Mental disability, also called intellectual disability.; No speech or little speech.; Trouble walking, moving or balancing.; Smiling and laughing often and seeming happy.; Being easy to excite.; Trouble sucking or feeding.; Trouble going to sleep and staying asleep.; People who have Angelman syndrome also may have:; Seizures, often beginning between 2 and 3 years of age.; Stiff or jerky movements.; Small head size by age 2.; Tongue thrusting.; Hair, skin and eyes that are light in color.; Odd behaviors, such as hand flapping and arms uplifted while walking.; Crossed eyes, also caused strabismus.; Curved spine, also called scoliosis."
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,
Angiosarcoma,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244,Angiosarcoma signs and symptoms may vary based on where the cancer occurs.
Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808,"Early symptoms of ankylosing spondylitis might include back pain and stiffness in the lower back and hips, especially in the morning and after periods of inactivity. Neck pain and fatigue also are common. Over time, symptoms might worsen, improve or stop at irregular intervals.; The areas most commonly affected are:; The joint between the base of the spine and the pelvis.; The vertebrae in the lower back.; The places where tendons and ligaments attach to bones, mainly in the spine, but sometimes along the back of the heel.; The cartilage between the breastbone and the ribs.; The hip and shoulder joints."
Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,"The physical and behavioral symptoms of anorexia nervosa relate to how starvation affects the brain. It may be hard to notice symptoms because what is seen as a low body weight differs for each person. Some people with anorexia may not look very thin. Also, people often hide their thinness, eating habits or physical problems."
